"Context","English","Gibberish","French","Spanish","German","Korean","BrazilianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"Block name","Garden Hedges","","Haies de jardin","Garden Hedges","Gartenhecken","Garden Hedges","Garden Hedges","Garden Hedges","Живая Изгородь","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Garden Hedges","Живопліт","Garden Hedges","Garden Hedges","Garden Hedges","Bahçe çitleri"
"Block Form","Cylinder","","Cylindre","Cylinder","Zylinder","Cylinder","Cylinder","Cylinder","Цилиндр","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Cylinder","Циліндр","Cylinder","Cylinder","Cylinder","Silindir"
"Block Form","Half Cylinder Horizontal","","Demi-cylindre Horizontal","Half Cylinder Horizontal","Halbzylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Полуцилиндр Горизонтальный","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Горизонтальний напівциліндр","Half Cylinder Horizontal","Half Cylinder Horizontal","Half Cylinder Horizontal","Yarım silindir yatay"
"Block Form","Half Cylinder T-junction","","Demi-cylindre Jonction en T","Half Cylinder T-junction","Halbzylinder T-Kreuzung","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Полуцилиндр Т-образный","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Т-подібний напівциліндр","Half Cylinder T-junction","Half Cylinder T-junction","Half Cylinder T-junction","Yarım Silindir T-bağlantısı"
"Block Form","Half Cylinder Vertical","","Demi-cylindre vertical","Half Cylinder Vertical","Halbzylinder vertikal","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Полуцилиндр Вертикальный","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Вертикальний напівциліндр","Half Cylinder Vertical","Half Cylinder Vertical","Half Cylinder Vertical","Yarım Silindir Dikey"
"Block Form","Half Cylinder Сrosshair","","Demi-cylindre Jonction en Croix","Half Cylinder Сrosshair","Halbzylinder Kreuzung","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Полуцилиндр - Перекрестие","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Перехрестя напівциліндра","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Half Cylinder Сrosshair","Yarım Silindir Сrosshair"
"Block Form","Half Cylinder Top Angle","","Angle supérieur du demi-cylindre","Half Cylinder Top Angle","Halbzylinder oberer Winkel","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Полуцилиндр - Верхний Угол","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Верхній кут напівциліндра","Half Cylinder Top Angle","Half Cylinder Top Angle","Half Cylinder Top Angle","Yarım Silindir Üst Açısı"
"Block Form","Half Cylinder Bottom Angle","","Angle du fond du demi-cylindre","Half Cylinder Bottom Angle","Halbzylinder unterer Winkel","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Полуцилиндр - Нижний Угол","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Нижній кут напівциліндра","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Half Cylinder Bottom Angle","Yarım Silindir Alt Açı"
"Block Form","HemiSphere","","Hémisphère","HemiSphere","Hemisphäre","HemiSphere","HemiSphere","HemiSphere","Полусфера","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","HemiSphere","Напівсфера","HemiSphere","HemiSphere","HemiSphere","Yarımküre"
"Block Form","Quarter Sphere","","Quart de sphère","Quarter Sphere","Viertelsphäre","Quarter Sphere","Quarter Sphere","Quarter Sphere","Четверть Сферы","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Quarter Sphere","Чверть сфери","Quarter Sphere","Quarter Sphere","Quarter Sphere","Çeyrekküre"
"Block Form","Triangle","","Triangle","Triangle","Dreieck","Triangle","Triangle","Triangle","Треугольник","Triangle","Triangle","Triangle","Triangle","Triangle","Triangle","Triangle","Triangle","Triangle","Triangle","Triangle","Трикутник","Triangle","Triangle","Triangle","Üçgen"
"Block Form","Half Cylinder Turn","","Demi-tour de cylindre","Half Cylinder Turn","Halbzylinder Kurve","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Полуцилиндр - Угловой Поворот","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Поворот напівциліндра","Half Cylinder Turn","Half Cylinder Turn","Half Cylinder Turn","Yarım Silindir Dönüş"
"Block Form","Under Half Cylinder Horizontal","","Sous le demi-cylindre Horizontal","Under Half Cylinder Horizontal","Unterer Halbzylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Перевернутый Полуцилиндр Горизонтальный","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Перевернутий горизонтальний напівциліндр","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Under Half Cylinder Horizontal","Yarım Silindir Altı Yatay"
"Description","Hedges for your garden","","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Живые изгороди для вашего сада","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden","Hedges for your garden"
